,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
22,D1-4,D1,4,TRUE,JCM14889-1s-22,0.93733149,220,206,232,8.074921223,2,22,4.024934922
23,D1-4,D1,4,TRUE,JCM14889-1s-23,1.126308262,219,205,230,9.854133708,2,23,4.596341627
25,D1-4,D1,4,TRUE,JCM14889-1s-25,1.532281195,221,205,233,14.51752953,2,25,5.951071187
26,D1-4,D1,4,TRUE,JCM14889-1s-26,1.082759856,220,204,232,10.53256807,2,26,4.804957121
27,D1-4,D1,4,TRUE,JCM14889-1s-27,1.183214166,220,203,232,9.855135591,2,27,4.596653166
28,D1-4,D1,4,TRUE,JCM14889-1s-28,1.19652731,221,206,234,9.866977356,2,28,4.600334603
29,D1-4,D1,4,TRUE,JCM14889-1s-29,1.864518924,221,203,232,16.65840474,2,29,6.522622935
30,D1-4,D1,4,TRUE,JCM14889-1s-30,1.033992333,220,209,232,8.939094289,2,30,4.307206353
31,D1-4,D1,4,TRUE,JCM14889-1s-31,1.367370722,221,203,234,12.18526027,2,31,5.295291509
32,D1-4,D1,4,TRUE,JCM14889-1s-32,1.231280339,220,200,233,10.0690823,2,32,4.662941072
33,D1-4,D1,4,TRUE,JCM14889-1s-33,1.363424116,221,202,232,11.00154621,2,33,4.946550929
34,D1-4,D1,4,TRUE,JCM14889-1s-34,1.700717328,219,204,232,14.76340796,2,34,6.018077098
35,D1-4,D1,4,TRUE,JCM14889-1s-35,1.519645706,220,203,233,12.19719056,2,35,5.298747272
36,D1-4,D1,4,TRUE,JCM14889-1s-36,1.159571116,220,206,235,9.53353862,2,36,4.496101292
37,D1-4,D1,4,TRUE,JCM14889-1s-37,1.651561939,220,201,235,14.37879202,2,37,5.913096064
38,D1-4,D1,4,TRUE,JCM14889-1s-38,1.742901638,221,198,234,14.55070616,2,38,5.960134317
39,D1-4,D1,4,TRUE,JCM14889-1s-39,1.02583787,220,203,234,10.59668709,2,39,4.824438117
40,D1-4,D1,4,TRUE,JCM14889-1s-40,1.216665459,220,203,233,9.920414696,2,40,4.616929235
41,D1-4,D1,4,TRUE,JCM14889-1s-41,1.300709858,220,197,233,10.40898791,2,41,4.767298393
42,D1-4,D1,4,TRUE,JCM14889-1s-42,1.416005209,221,200,233,11.29989262,2,42,5.035580514
43,D1-4,D1,4,TRUE,JCM14889-1s-43,1.574838086,220,200,232,13.26470756,2,43,5.603574107
44,D1-4,D1,4,TRUE,JCM14889-1s-44,1.219297884,220,200,233,9.871825314,2,44,4.60184134
